created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2021-11-11T11:22:41+00:00,59,20.3,32.3,20.1,92,1,,,,
2021-11-11T11:23:01+00:00,60,20.4,32.7,20.1,93,1,,,,
2021-11-11T11:23:21+00:00,61,20.4,32.7,20.1,95,1,,,,
2021-11-11T11:23:47+00:00,62,20.5,32.6,20.1,94,1,,,,
2021-11-11T11:24:14+00:00,63,20.5,32.6,20.1,98,1,,,,
2021-11-11T11:24:34+00:00,64,20.5,32.6,20.1,97,1,,,,
2021-11-11T11:24:53+00:00,65,20.5,32.6,20.1,98,1,,,,
2021-11-11T11:25:13+00:00,66,20.5,32.7,20.1,98,1,,,,
2021-11-11T11:25:33+00:00,67,20.5,32.6,20.1,98,1,,,,
2021-11-11T11:25:59+00:00,68,20.5,32.6,20.1,97,1,,,,
2021-11-11T11:26:19+00:00,69,20.5,32.5,20.1,97,1,,,,
2021-11-11T11:26:40+00:00,70,20.5,32.7,20.1,97,1,,,,
2021-11-11T11:27:00+00:00,71,20.5,32.8,20.1,98,1,,,,
2021-11-11T11:27:19+00:00,72,20.5,32.8,20.1,98,1,,,,
2021-11-11T11:27:39+00:00,73,20.5,32.8,20.1,98,1,,,,
2021-11-11T11:28:00+00:00,74,20.5,32.8,20.1,97,1,,,,
2021-11-11T11:28:19+00:00,75,20.5,32.8,20.1,98,1,,,,
2021-11-11T11:28:39+00:00,76,20.5,32.7,20.1,98,1,,,,
2021-11-11T11:28:59+00:00,77,20.5,32.6,20.1,98,1,,,,
2021-11-11T11:29:19+00:00,78,20.5,32.5,20.1,98,1,,,,
2021-11-11T11:29:39+00:00,79,20.5,32.6,20.1,98,1,,,,
2021-11-11T11:42:15+00:00,80,20.5,32.6,20.2,86,1,,,,
2021-11-11T11:42:35+00:00,81,21.1,38.5,20.3,87,1,,,,
2021-11-11T11:42:55+00:00,82,21.2,36.5,20.3,86,1,,,,
2021-11-11T11:43:15+00:00,83,21.2,36.5,20.3,90,1,,,,
2021-11-11T11:43:35+00:00,84,21.2,35.1,20.3,87,1,,,,
2021-11-11T11:43:55+00:00,85,21.2,36.0,20.3,87,1,,,,
2021-11-11T11:44:15+00:00,86,21.2,37.2,20.3,87,1,,,,
2021-11-11T11:44:35+00:00,87,21.3,37.1,20.3,86,1,,,,
2021-11-11T11:44:55+00:00,88,21.3,36.2,20.3,97,1,,,,
2021-11-11T11:45:16+00:00,89,21.3,33.9,20.3,97,1,,,,
2021-11-11T11:45:35+00:00,90,21.2,32.9,20.3,97,1,,,,
2021-11-11T11:45:55+00:00,91,21.2,32.8,20.3,97,1,,,,
2021-11-11T11:46:15+00:00,92,21.2,32.4,20.3,97,1,,,,
2021-11-11T11:46:35+00:00,93,21.1,32.4,20.3,97,1,,,,
2021-11-11T11:46:55+00:00,94,21.1,32.4,20.4,97,1,,,,
2021-11-11T11:47:15+00:00,95,21.1,32.3,20.3,92,1,,,,
2021-11-11T11:47:35+00:00,96,21.1,33.5,20.3,91,1,,,,
2021-11-11T11:47:54+00:00,97,21.1,36.3,20.4,92,1,,,,
2021-11-11T11:48:14+00:00,98,21.2,34.0,20.4,89,1,,,,
2021-11-11T11:48:34+00:00,99,21.2,35.6,20.6,89,1,,,,
2021-11-11T11:48:54+00:00,100,21.3,38.2,20.6,90,1,,,,
2021-11-11T11:49:14+00:00,101,21.3,38.3,20.6,92,1,,,,
2021-11-11T11:49:34+00:00,102,21.3,35.8,20.7,89,1,,,,
2021-11-11T11:49:54+00:00,103,21.3,34.6,20.7,91,1,,,,
2021-11-11T11:50:14+00:00,104,21.3,38.3,20.8,89,1,,,,
2021-11-11T11:50:34+00:00,105,21.3,37.5,20.8,91,1,,,,
2021-11-11T11:50:53+00:00,106,21.4,35.4,20.7,96,1,,,,
2021-11-11T11:51:13+00:00,107,21.4,34.6,20.6,91,1,,,,
2021-11-11T11:51:33+00:00,108,21.4,37.7,20.6,95,1,,,,
2021-11-11T11:51:53+00:00,109,21.4,35.6,20.6,96,1,,,,
2021-11-11T11:52:13+00:00,110,21.4,35.1,20.6,94,1,,,,
2021-11-11T11:52:33+00:00,111,21.4,36.9,20.6,94,1,,,,
2021-11-11T11:52:52+00:00,112,21.5,37.6,20.6,95,1,,,,
2021-11-11T11:53:13+00:00,113,21.4,36.4,20.6,96,1,,,,
2021-11-11T11:53:32+00:00,114,21.5,34.9,20.5,90,1,,,,
2021-11-11T11:53:52+00:00,115,21.4,34.2,20.6,93,1,,,,
2021-11-11T11:54:12+00:00,116,21.5,34.4,20.6,93,1,,,,
2021-11-11T11:54:32+00:00,117,21.5,33.6,20.6,95,1,,,,
2021-11-11T11:54:53+00:00,118,21.5,35.0,20.6,92,1,,,,
2021-11-11T11:55:19+00:00,119,21.5,34.8,20.6,89,1,,,,
2021-11-11T11:55:39+00:00,120,21.5,35.8,20.6,93,1,,,,
2021-11-11T11:55:59+00:00,121,21.5,34.1,20.6,95,1,,,,
2021-11-11T11:56:19+00:00,122,21.5,35.2,20.6,96,1,,,,
2021-11-11T11:56:39+00:00,123,21.5,34.7,20.6,97,1,,,,
2021-11-11T11:56:59+00:00,124,21.5,33.6,20.6,97,1,,,,
2021-11-11T11:57:18+00:00,125,21.5,33.1,20.6,97,1,,,,
2021-11-11T11:57:38+00:00,126,21.5,32.8,20.6,97,1,,,,
2021-11-11T11:57:58+00:00,127,21.4,32.7,20.6,97,1,,,,
2021-11-11T11:58:18+00:00,128,21.4,32.7,20.6,97,1,,,,
2021-11-11T11:58:38+00:00,129,21.4,32.8,20.6,97,1,,,,
2021-11-11T11:58:57+00:00,130,21.4,32.9,20.6,97,1,,,,
2021-11-11T11:59:17+00:00,131,21.4,32.9,20.6,97,1,,,,
2021-11-11T11:59:37+00:00,132,21.4,34.7,20.6,97,1,,,,
2021-11-11T11:59:57+00:00,133,21.4,34.1,20.6,98,1,,,,
2021-11-11T12:00:17+00:00,134,21.3,33.0,20.6,98,1,,,,
2021-11-11T12:00:37+00:00,135,21.3,32.5,20.6,97,1,,,,
2021-11-11T12:00:57+00:00,136,21.2,32.3,20.6,98,1,,,,
2021-11-11T12:01:17+00:00,137,21.2,32.4,20.5,97,1,,,,
2021-11-11T12:01:43+00:00,138,21.1,32.6,20.6,98,1,,,,
2021-11-11T12:02:03+00:00,139,21.1,32.8,20.5,97,1,,,,
2021-11-11T12:02:23+00:00,140,21.1,33.6,20.5,93,1,,,,
2021-11-11T12:02:45+00:00,141,21.1,34.4,20.5,94,1,,,,
2021-11-11T12:03:11+00:00,142,21.3,38.1,20.5,92,1,,,,
2021-11-11T12:03:31+00:00,143,21.4,39.1,20.5,95,1,,,,
2021-11-11T12:03:50+00:00,144,21.5,35.9,20.6,93,1,,,,
2021-11-11T12:04:10+00:00,145,21.5,37.8,20.5,91,1,,,,
2021-11-11T12:04:30+00:00,146,21.6,37.9,20.6,95,1,,,,
2021-11-11T12:04:50+00:00,147,21.6,38.6,20.6,94,1,,,,
2021-11-11T12:05:10+00:00,148,21.6,37.0,20.6,95,1,,,,
2021-11-11T12:05:29+00:00,149,21.6,39.6,20.6,94,1,,,,
2021-11-11T12:05:49+00:00,150,21.6,40.7,20.6,94,1,,,,
2021-11-11T12:06:09+00:00,151,21.6,39.0,20.6,93,1,,,,
2021-11-11T12:06:29+00:00,152,21.6,37.9,20.6,92,1,,,,
2021-11-11T12:06:49+00:00,153,21.6,36.6,20.6,92,1,,,,
2021-11-11T12:07:09+00:00,154,21.7,40.8,20.6,93,1,,,,
2021-11-11T12:07:30+00:00,155,21.6,37.1,20.6,95,1,,,,
2021-11-11T12:07:50+00:00,156,21.7,38.7,20.6,95,1,,,,
2021-11-11T12:08:10+00:00,157,21.7,41.3,20.6,94,1,,,,
2021-11-11T12:08:30+00:00,158,21.7,38.3,20.6,94,1,,,,
2021-11-11T12:08:50+00:00,159,21.7,39.6,20.6,94,1,,,,
2021-11-11T12:09:10+00:00,160,21.7,38.0,20.6,93,1,,,,
2021-11-11T12:09:30+00:00,161,21.7,36.3,20.6,95,1,,,,
2021-11-11T12:09:50+00:00,162,21.7,36.6,20.6,95,1,,,,
2021-11-11T12:10:10+00:00,163,21.7,34.5,20.6,88,1,,,,
2021-11-11T12:10:31+00:00,164,21.7,35.6,20.6,94,1,,,,
2021-11-11T12:10:50+00:00,165,21.7,39.6,20.6,94,1,,,,
2021-11-11T12:11:10+00:00,166,21.8,40.5,20.6,98,1,,,,
2021-11-11T12:11:30+00:00,167,21.7,35.9,20.6,98,1,,,,
2021-11-11T12:11:51+00:00,168,21.7,35.3,20.6,94,1,,,,
2021-11-11T12:12:11+00:00,169,21.8,36.5,20.6,87,1,,,,
2021-11-11T12:12:30+00:00,170,21.9,40.4,20.6,88,1,,,,
2021-11-11T12:12:50+00:00,171,22.1,42.5,20.5,89,1,,,,
2021-11-11T12:13:10+00:00,172,22.3,38.8,20.6,94,1,,,,
2021-11-11T12:13:30+00:00,173,22.3,40.4,20.6,95,1,,,,
2021-11-11T12:13:50+00:00,174,22.3,38.5,20.6,87,1,,,,
2021-11-11T12:14:10+00:00,175,22.2,35.9,20.6,87,1,,,,
2021-11-11T12:14:30+00:00,176,22.2,33.5,20.6,87,1,,,,
2021-11-11T12:14:50+00:00,177,22.2,34.8,20.6,92,1,,,,
2021-11-11T12:15:10+00:00,178,22.2,35.1,20.6,92,1,,,,
2021-11-11T12:15:36+00:00,179,22.2,37.1,20.5,98,1,,,,
2021-11-11T12:15:56+00:00,180,22.1,33.5,20.6,98,1,,,,
2021-11-11T12:16:16+00:00,181,22.0,32.9,20.6,97,1,,,,
2021-11-11T12:16:36+00:00,182,21.9,32.4,20.6,89,1,,,,
2021-11-11T12:16:56+00:00,183,21.9,34.5,20.6,89,1,,,,
2021-11-11T12:17:16+00:00,184,21.9,33.5,20.6,93,1,,,,
2021-11-11T12:17:36+00:00,185,21.9,35.3,20.6,94,1,,,,
2021-11-11T12:17:56+00:00,186,22.0,35.2,20.6,90,1,,,,
2021-11-11T12:18:15+00:00,187,22.0,38.1,20.6,90,1,,,,
2021-11-11T12:18:35+00:00,188,22.1,37.4,20.6,92,1,,,,
2021-11-11T12:18:55+00:00,189,22.1,37.0,20.6,93,1,,,,
2021-11-11T12:19:15+00:00,190,22.1,35.8,20.5,94,1,,,,
2021-11-11T12:19:35+00:00,191,22.1,39.7,20.6,95,1,,,,
2021-11-11T12:19:55+00:00,192,22.1,41.8,20.5,91,1,,,,
2021-11-11T12:20:15+00:00,193,22.2,35.6,20.6,94,1,,,,
2021-11-11T12:20:35+00:00,194,22.2,33.8,20.5,95,1,,,,
2021-11-11T12:20:55+00:00,195,22.1,34.7,20.6,94,1,,,,
2021-11-11T12:21:24+00:00,196,22.1,41.1,20.6,97,1,,,,
2021-11-11T12:21:44+00:00,197,22.1,34.5,20.5,98,1,,,,
2021-11-11T12:22:04+00:00,198,22.0,33.3,20.5,98,1,,,,
2021-11-11T12:22:24+00:00,199,21.9,35.6,20.5,97,1,,,,
2021-11-11T12:22:44+00:00,200,21.9,33.4,20.5,98,1,,,,
2021-11-11T12:23:04+00:00,201,21.9,32.8,20.5,98,1,,,,
2021-11-11T12:23:24+00:00,202,21.8,32.6,20.6,97,1,,,,
2021-11-11T12:23:44+00:00,203,21.8,32.6,20.6,97,1,,,,
2021-11-11T12:24:03+00:00,204,21.7,32.7,20.6,98,1,,,,
2021-11-11T12:24:23+00:00,205,21.7,33.0,20.5,97,1,,,,
2021-11-11T12:24:43+00:00,206,21.7,33.0,20.5,96,1,,,,
2021-11-11T12:25:03+00:00,207,21.7,33.1,20.5,98,1,,,,
2021-11-11T12:25:24+00:00,208,21.7,34.6,20.5,93,1,,,,
2021-11-11T12:25:44+00:00,209,21.7,35.1,20.5,88,1,,,,
2021-11-11T12:26:05+00:00,210,21.7,36.3,20.5,93,1,,,,
2021-11-11T12:26:25+00:00,211,21.8,35.9,20.5,98,1,,,,
2021-11-11T12:26:45+00:00,212,21.8,34.4,20.5,98,1,,,,
2021-11-11T12:27:04+00:00,213,21.7,33.4,20.5,98,1,,,,
2021-11-11T12:27:24+00:00,214,21.6,33.2,20.5,98,1,,,,
2021-11-11T12:27:44+00:00,215,21.5,33.1,20.5,98,1,,,,
2021-11-11T12:28:10+00:00,216,21.4,33.0,20.5,98,1,,,,
2021-11-11T12:28:30+00:00,217,21.4,33.0,20.5,98,1,,,,
2021-11-11T12:28:57+00:00,218,21.3,33.0,20.5,98,1,,,,
2021-11-11T12:29:17+00:00,219,21.3,32.8,20.5,97,1,,,,
2021-11-11T12:29:37+00:00,220,21.3,32.9,20.5,98,1,,,,
2021-11-11T12:29:56+00:00,221,21.2,33.0,20.5,98,1,,,,
2021-11-11T12:30:16+00:00,222,21.2,33.1,20.5,98,1,,,,
2021-11-11T12:30:36+00:00,223,21.2,33.0,20.5,98,1,,,,
2021-11-11T12:30:56+00:00,224,21.2,32.9,20.5,98,1,,,,
2021-11-11T12:31:16+00:00,225,21.2,32.9,20.5,98,1,,,,
2021-11-11T12:31:36+00:00,226,21.1,32.9,20.5,98,1,,,,
2021-11-11T12:31:55+00:00,227,21.1,32.9,20.5,98,1,,,,
2021-11-11T12:32:15+00:00,228,21.1,33.0,20.5,98,1,,,,
2021-11-11T12:32:35+00:00,229,21.1,33.2,20.5,98,1,,,,
2021-11-11T12:32:55+00:00,230,21.1,33.1,20.5,98,1,,,,
2021-11-11T12:33:15+00:00,231,21.0,33.1,20.5,98,1,,,,
2021-11-11T12:33:35+00:00,232,21.0,33.2,20.6,98,1,,,,
2021-11-11T12:33:55+00:00,233,21.0,33.1,20.5,98,1,,,,
2021-11-11T12:34:15+00:00,234,21.0,33.2,20.6,98,1,,,,
2021-11-11T12:34:35+00:00,235,21.0,33.3,20.6,98,1,,,,
2021-11-11T12:34:55+00:00,236,21.0,33.5,20.5,94,1,,,,
2021-11-11T12:35:14+00:00,237,21.0,33.9,20.6,94,1,,,,
2021-11-11T12:35:34+00:00,238,21.1,34.0,20.5,94,1,,,,
2021-11-11T12:35:54+00:00,239,21.2,34.0,20.5,93,1,,,,
2021-11-11T12:36:14+00:00,240,21.3,33.9,20.6,94,1,,,,
2021-11-11T12:36:34+00:00,241,21.3,34.0,20.5,86,1,,,,
2021-11-11T12:36:53+00:00,242,21.3,33.6,20.5,86,1,,,,
2021-11-11T12:37:13+00:00,243,21.3,33.6,20.5,97,1,,,,
2021-11-11T12:37:33+00:00,244,21.3,33.3,20.5,95,1,,,,
2021-11-11T12:37:53+00:00,245,21.3,33.3,20.6,94,1,,,,
2021-11-11T12:38:13+00:00,246,21.3,35.0,20.5,92,1,,,,
2021-11-11T12:38:32+00:00,247,21.4,35.7,20.5,97,1,,,,
2021-11-11T12:38:52+00:00,248,21.4,35.8,20.6,98,1,,,,
2021-11-11T12:39:12+00:00,249,21.4,34.2,20.6,97,1,,,,
2021-11-19T05:02:58+00:00,250,0,,,,,,,,
